BLDG_ID,Region,Size,Year,Hours,HDD65,CDD65,SrcEUI,Group,Order
44,South Atlantic,150000,1998,60,2270,1882,1.908316128,87,3
3563,South Atlantic,450000,2001,75,3241,1908,1.914873358,6,3
1887,South Atlantic,91000,1984,65,4867,1115,1.934430719,76,3
6364,South Atlantic,270000,1979,65,3825,1490,1.942488559,81,3
584,South Atlantic,290000,2004,60,4087,1726,1.945911241,40,3
6660,South Atlantic,31500,2001,45,233,3490,1.977754405,51,3
4430,South Atlantic,245000,2008,60,3740,1690,2.033882714,43,3
5267,South Atlantic,34000,1975,50,3119,1974,2.031058372,65,3
2866,South Atlantic,84000,1983,168,2993,1611,2.066610792,21,3
3158,South Atlantic,176000,1969,168,2726,1838,2.082138184,92,3
5913,South Atlantic,5000,1988,60,2689,1827,2.185399772,91,3
5942,South Atlantic,97000,1991,50,3372,1717,2.201878035,12,3
421,South Atlantic,102000,2000,50,579,3247,2.226960743,82,3
3274,South Atlantic,100000,1976,60,3380,1453,2.383557782,27,3
483,South Atlantic,6300,1985,60,216,3574,2.416167223,23,3
4372,South Atlantic,144000,1963,55,2641,2118,2.557005226,34,3
6095,South Atlantic,62000,1998,60,493,3387,2.505210814,59,3
69,South Atlantic,16500,1990,45,3204,1569,2.561944451,35,3
4916,South Atlantic,46500,1946,75,4684,1144,3.154628358,95,3
3559,South Atlantic,200000,1999,50,3874,1410,2.705402241,100,3
4914,South Atlantic,5000,1975,60,155,3845,2.799683136,38,3
5350,South Atlantic,5000,1999,40,479,3463,2.843253389,65,3
3906,South Atlantic,6300,1992,168,1867,2075,3.017817234,37,3
531,South Atlantic,7000,1962,80,152,4119,3.429977612,3,3
6530,South Atlantic,7500,1960,60,5058,1001,3.313121198,14,3
216,South Atlantic,15000,1968,40,2518,1778,3.276368352,65,3
3842,East South Central,6000,1967,40,2194,2163,0.410175504,90,4
5738,East South Central,5700,1979,44,3749,1367,0.791294506,10,4
5560,East South Central,8900,1970,40,2281,2139,0.856575418,60,4
4865,East South Central,6700,1975,40,2262,2215,0.895883004,20,4
4909,East South Central,7100,2007,45,2517,2077,0.80697454,33,4
5676,East South Central,40000,1965,45,3092,1529,0.862501849,20,4
3069,East South Central,64000,1986,50,2277,2235,1.011358067,99,4
4334,East South Central,9000,1990,45,1293,2433,1.043401504,89,4
3132,East South Central,6300,2006,40,2786,1628,1.196257517,38,4
6038,East South Central,380000,1986,50,3253,1652,1.096904329,31,4
5469,East South Central,10000,2010,54,1829,1911,1.176265123,71,4
1783,East South Central,29000,1970,168,3505,1306,1.288086872,21,4
1138,East South Central,6800,2008,50,2546,1991,1.392390403,1,4
6710,East South Central,13000,1998,70,1712,2568,1.556768028,36,4
6582,East South Central,200000,2009,40,3574,1433,1.54040402,23,4
5102,East South Central,17750,1946,45,3249,1773,1.692633322,90,4
4871,East South Central,230000,1984,61,2929,1609,1.748920363,42,4
3955,East South Central,83000,1978,53,1759,2263,1.787243571,8,4
2558,East South Central,100000,2003,55,1792,2642,1.8497819,91,4
1778,East South Central,210000,1985,60,2302,1813,1.977166073,84,4
3665,East South Central,20000,1981,60,1664,2549,2.130913112,94,4
2647,East South Central,174000,1999,60,1777,2586,2.196551149,14,4
6470,East South Central,40000,1972,43,2849,2027,3.204348007,97,4
4382,West South Central,18000,1977,50,1560,2864,0.33500184,57,5
5146,West South Central,102000,2001,72,3002,2018,0.44168918,24,5
498,West South Central,78000,1984,40,1641,3411,0.44881814,100,5
167,West South Central,5000,1980,40,2447,2578,0.475052332,31,5
5899,West South Central,24000,1984,70,1161,3523,0.519414252,54,5
5717,West South Central,5200,2009,48,2422,3085,0.635599335,99,5
3636,West South Central,400000,1981,66,859,3339,0.635618249,88,5
4898,West South Central,14000,1977,50,1234,3121,0.684653266,95,5
3057,West South Central,17000,1970,50,1506,2736,0.867217305,90,5
4764,West South Central,7900,1982,40,959,3864,0.719624666,60,5
5107,West South Central,5200,1948,45,2969,1754,0.77592422,13,5
818,West South Central,5000,1955,45,3494,1633,0.717716102,24,5
952,West South Central,7000,2009,40,1002,3510,0.752275255,56,5
850,West South Central,6900,1984,60,2513,2749,0.823602875,32,5
6382,West South Central,5000,2012,133,1150,3427,0.757195834,62,5
3908,West South Central,385000,1979,60,828,2907,0.771874147,63,5
982,West South Central,152000,2007,55,1012,3183,0.835198109,31,5
3318,West South Central,14000,2009,70,2671,2236,0.881389087,90,5
3919,West South Central,69000,1997,65,946,3009,0.880948708,10,5
5737,West South Central,14000,1996,60,2192,2997,0.962737761,94,5
3825,West South Central,18250,2006,40,3394,1595,0.983116402,7,5
2979,West South Central,29500,1970,60,2183,2603,0.992694521,28,5
387,West South Central,20000,1980,40,1767,3053,0.970447561,63,5
1924,West South Central,270000,2004,168,3338,1819,1.01412314,6,5
4022,West South Central,24000,1999,58,1129,3737,1.01943143,75,5
3204,West South Central,186000,2009,45,1053,3349,1.024672162,80,5
1135,West South Central,156000,1981,55,999,3478,1.025975105,23,5
6448,West South Central,5300,1978,48,1042,3575,1.078242425,68,5
2971,West South Central,14000,1990,60,764,4008,1.067963617,13,5
6500,West South Central,74000,1983,61,560,4898,1.071888982,96,5
2143,West South Central,33000,2008,70,1899,3029,1.086042406,45,5
6282,West South Central,44500,1986,60,1031,3637,1.10530434,41,5
1296,West South Central,73000,1979,60,978,3331,1.112131785,77,5
4232,West South Central,85000,1986,40,2842,2035,1.146533537,84,5
561,West South Central,100001,1980,54,723,4129,1.135367147,91,5
5301,West South Central,43500,1985,40,1378,3365,1.136961262,97,5
3695,West South Central,178000,1983,60,884,2767,1.145033984,76,5
5,West South Central,30000,1972,65,813,4144,1.155502627,59,5
2464,West South Central,6800,1996,62,1140,3325,1.205452927,81,5
1569,West South Central,7500,1989,40,910,3003,1.277002596,74,5
5663,West South Central,6000,2008,60,2413,2647,1.28694989,78,5
5184,West South Central,325000,1989,98,1546,2761,1.292692138,11,5
666,West South Central,10000,1965,61,2426,2440,1.442629031,67,5
4635,West South Central,6500,1995,40,1199,2920,1.31838274,87,5
306,West South Central,390000,1982,60,858,3559,1.328975377,79,5
5098,West South Central,192000,1983,60,1180,3413,1.340541998,52,5
6085,West South Central,186000,1997,50,705,3950,1.422500215,99,5
1286,West South Central,70000,1951,45,2783,2233,1.461990566,61,5
1052,West South Central,104000,1983,50,2399,2800,1.483064797,80,5
3389,West South Central,33000,1967,70,1138,3649,1.517433312,32,5
3058,West South Central,9200,1982,50,1609,3144,1.51590839,9,5
1127,West South Central,61000,1982,65,689,3753,1.478896029,72,5
9,West South Central,37500,1980,68,1341,2878,1.5755331,7,5
3959,West South Central,132000,1984,55,1082,3194,1.511461113,47,5
2789,West South Central,160000,1980,40,807,3945,1.534039051,6,5
6062,West South Central,192000,1995,70,2839,2448,1.593914196,23,5
5825,West South Central,345000,2007,59,1822,3258,1.570806104,45,5
671,West South Central,27500,1982,50,1563,3075,1.595132923,52,5
1551,West South Central,88000,1973,65,909,2838,1.712781449,54,5
1883,West South Central,285000,2002,40,2218,2681,1.729225381,16,5
1563,West South Central,250000,1986,62,1550,3755,1.709902795,65,5
422,West South Central,186000,1988,50,2350,2114,1.781989137,53,5
5943,West South Central,13500,2004,45,1614,3104,1.819003457,53,5
2663,West South Central,198000,1982,79,1600,3408,1.815943289,79,5
5244,West South Central,370000,1976,72,889,3352,1.907079236,12,5
5507,West South Central,75000,1999,67,959,3884,1.902328059,78,5
893,West South Central,365000,1979,46,699,4225,1.967444952,6,5
3343,West South Central,370000,1985,66,1410,3674,1.999516725,53,5
1876,West South Central,45000,2007,55,3845,1897,2.006462822,68,5
4058,West South Central,20000,1977,60,1975,2622,2.067406171,98,5
4512,West South Central,98000,1967,60,1937,2884,2.223263735,23,5
4435,West South Central,35500,1983,168,2160,2984,2.145906223,45,5
4218,West South Central,275000,2000,68,1776,2628,2.101252209,61,5
2999,West South Central,188000,1982,67,1612,3184,2.105177974,66,5
1080,West South Central,10000,1979,40,2073,2927,2.205421652,88,5
1728,West South Central,60000,1997,40,583,4522,2.200048565,46,5
2662,West South Central,200001,1987,60,1773,3377,2.23982324,8,5
4354,West South Central,150000,2000,56,1480,3482,2.248252418,29,5
2501,West South Central,31000,1985,40,1491,2701,2.29278303,76,5
282,West South Central,15000,1996,84,1765,3641,2.374231803,71,5
4121,West South Central,31500,1983,92,1204,3511,2.383576114,8,5
1334,West South Central,106000,1979,50,817,4131,2.460845596,7,5
6575,West South Central,8000,2009,90,1842,3270,2.553541229,91,5
6647,West South Central,146000,1985,45,1652,3512,2.927722066,58,5
6216,West South Central,54000,1998,60,2151,2287,3.044447237,41,5
1606,West South Central,52000,1977,90,3212,1959,3.417934599,86,5
6452,West South Central,6300,2009,60,1189,3067,3.268911014,78,5
5659,West South Central,92000,1980,60,1264,3056,3.415673659,17,5
929,East North Central,11000,1992,50,6644,710,0.401465983,49,6
3600,East North Central,5400,1973,40,5342,1083,0.530209909,57,6
5415,East North Central,5000,1962,45,7060,648,0.589085898,98,6
6505,East North Central,8000,1985,40,6312,709,0.584209762,75,6
1899,East North Central,285000,2004,50,5587,1170,0.530513849,97,6
1912,East North Central,40000,1991,87,6225,832,0.67615538,44,6
127,East North Central,9900,1998,40,7027,945,0.664260394,71,6
709,East North Central,16000,1960,168,5747,1232,0.834512278,80,6
3437,East North Central,8000,1987,40,5912,942,0.734013662,20,6
5516,East North Central,50000,2004,55,6975,907,0.80995818,74,6
1477,East North Central,59000,1979,75,4985,1410,0.795244367,92,6
5209,East North Central,10750,1960,50,6531,819,0.850692146,3,6
4743,East North Central,60000,1988,40,5503,934,0.85782844,82,6
6314,East North Central,10000,1950,55,5672,878,0.878233879,80,6
5703,East North Central,36500,1996,50,6750,754,0.831705495,6,6
5519,East North Central,355000,2004,40,6142,945,0.846399121,98,6
3969,East North Central,7200,1973,50,6664,750,1.000443878,17,6
2934,East North Central,6400,1965,50,4965,1086,0.955133492,4,6
479,East North Central,9000,1970,43,4504,1591,1.000087841,5,6
1544,East North Central,61000,1966,50,4401,1493,0.974328513,4,6
4868,East North Central,128000,1964,50,5224,942,1.099363658,46,6
5136,East North Central,66000,1970,50,5272,1287,0.979486713,3,6
5109,East North Central,65000,1994,40,5749,1052,1.086077239,82,6
2082,East North Central,265000,1995,65,4745,1075,0.990468411,63,6
2444,East North Central,5900,1995,60,6101,829,1.137530403,24,6
3355,East North Central,325000,1996,60,6902,897,1.014319842,43,6
325,East North Central,25000,1958,44,4600,1035,1.070535648,7,6
3503,East North Central,16750,1982,70,5649,955,1.18746884,81,6
82,East North Central,295000,2001,90,6150,993,1.048051721,13,6
2494,East North Central,310000,1986,50,4836,1381,1.098638253,86,6
5950,East North Central,45000,1963,40,5532,1187,1.115636355,77,6
1245,East North Central,425000,2004,65,4681,1290,1.130330678,61,6
1349,East North Central,5000,1998,45,5290,1023,1.141760117,56,6
3706,East North Central,160000,1984,72,5069,1286,1.192204503,88,6
4934,East North Central,420000,1984,60,6906,629,1.328763546,47,6
5480,East North Central,6600,1974,60,5098,1043,1.520672635,54,6
6494,East North Central,70000,1996,60,7028,840,1.302950135,51,6
3807,East North Central,5900,1973,60,5530,722,1.400049345,50,6
5320,East North Central,43000,1970,60,4289,820,1.490309531,37,6
6417,East North Central,37000,1950,54,5364,1201,1.607076514,92,6
5785,East North Central,200000,1979,55,5829,880,1.307408915,16,6
925,East North Central,17000,1985,65,4864,1599,1.616532999,17,6
565,East North Central,405000,1980,88,5500,1130,1.403232421,64,6
2688,East North Central,28000,1950,45,7258,1059,1.401283965,81,6
3991,East North Central,500000,1963,60,5222,1354,1.372966066,15,6
687,East North Central,102000,1990,50,5190,935,1.37646781,87,6
4877,East North Central,38500,1993,55,4238,1677,1.565999588,59,6
2560,East North Central,66000,2000,60,5448,1067,1.397073705,65,6
3634,East North Central,52000,2007,60,5567,1061,1.441960191,27,6
3642,East North Central,65000,1988,40,3782,1457,1.510330405,33,6
1781,East North Central,66000,2008,70,4331,1019,1.616424569,81,6
3423,East North Central,45000,1996,50,6813,708,1.728957264,76,6
4504,East North Central,46000,1963,40,4930,1148,1.914229904,32,6
4368,East North Central,59000,1978,50,3420,1229,1.704681749,40,6
4810,East North Central,78000,2002,60,4736,1045,1.61338817,42,6
5181,East North Central,300000,1975,55,4178,1602,1.679681785,28,6
1545,East North Central,225000,2006,90,4511,1189,1.657643692,16,6
168,East North Central,480000,1962,`,5120,1078,1.645738153,92,6
3721,East North Central,130000,1984,55,5504,1264,1.667236176,43,6
6534,East North Central,6500,1964,54,5538,729,1.87267847,63,6
4776,East North Central,40000,1970,48,6005,951,1.803492591,88,6
5789,East North Central,55000,1974,45,5238,653,2.078655272,40,6
3426,East North Central,104000,2009,60,4749,1218,1.727782779,94,6
1268,East North Central,14250,1982,73,5993,908,1.981753487,86,6
5470,East North Central,37000,2007,45,6622,702,2.056594443,98,6
4081,East North Central,52000,2002,50,5214,1087,2.020468353,100,6
4911,East North Central,120000,1988,64,4391,1428,1.843876171,45,6
